cookie,php,reactphp,werkzeug
'[_=foo,"{""'__"": ""foo""}","{""'[_"": ""foo""}","{""'[_"": ""foo""}"
'[`=foo,"{""'_`"": ""foo""}","{""'[`"": ""foo""}","{""'[`"": ""foo""}"
'[{=foo,"{""'_{"": ""foo""}","{""'[{"": ""foo""}","{""'[{"": ""foo""}"
'[|=foo,"{""'_|"": ""foo""}","{""'[|"": ""foo""}","{""'[|"": ""foo""}"
'[}=foo,"{""'_}"": ""foo""}","{""'[}"": ""foo""}","{""'[}"": ""foo""}"
'[~=foo,"{""'_~"": ""foo""}","{""'[~"": ""foo""}","{""'[~"": ""foo""}"
'[ =foo,"{""'__"": ""foo""}","{""'[ "": ""foo""}","{""'["": ""foo""}"
']+=foo,"{""']+"": ""foo""}","{""'] "": ""foo""}","{""']+"": ""foo""}"
'].=foo,"{""']_"": ""foo""}","{""']."": ""foo""}","{""']."": ""foo""}"
'];=foo,"{""']"": """"}","{"""": ""foo""}","{""']"": """", ""foo"": """"}"
'][=foo,"{""']_"": ""foo""}","{""']["": ""foo""}","{""']["": ""foo""}"
'] =foo,"{""']_"": ""foo""}","{""'] "": ""foo""}","{""']"": ""foo""}"
'^+=foo,"{""'^+"": ""foo""}","{""'^ "": ""foo""}","{""'^+"": ""foo""}"
'^.=foo,"{""'^_"": ""foo""}","{""'^."": ""foo""}","{""'^."": ""foo""}"
'^;=foo,"{""'^"": """"}","{"""": ""foo""}","{""'^"": """", ""foo"": """"}"
'^[=foo,"{""'^_"": ""foo""}","{""'^["": ""foo""}","{""'^["": ""foo""}"
'^ =foo,"{""'^_"": ""foo""}","{""'^ "": ""foo""}","{""'^"": ""foo""}"
'_+=foo,"{""'_+"": ""foo""}","{""'_ "": ""foo""}","{""'_+"": ""foo""}"
'_.=foo,"{""'__"": ""foo""}","{""'_."": ""foo""}","{""'_."": ""foo""}"
'_;=foo,"{""'_"": """"}","{"""": ""foo""}","{""'_"": """", ""foo"": """"}"
'_[=foo,"{""'__"": ""foo""}","{""'_["": ""foo""}","{""'_["": ""foo""}"
'_ =foo,"{""'__"": ""foo""}","{""'_ "": ""foo""}","{""'_"": ""foo""}"
'`+=foo,"{""'`+"": ""foo""}","{""'` "": ""foo""}","{""'`+"": ""foo""}"
'`.=foo,"{""'`_"": ""foo""}","{""'`."": ""foo""}","{""'`."": ""foo""}"
'`;=foo,"{""'`"": """"}","{"""": ""foo""}","{""'`"": """", ""foo"": """"}"
'`[=foo,"{""'`_"": ""foo""}","{""'`["": ""foo""}","{""'`["": ""foo""}"
'` =foo,"{""'`_"": ""foo""}","{""'` "": ""foo""}","{""'`"": ""foo""}"
'{+=foo,"{""'{+"": ""foo""}","{""'{ "": ""foo""}","{""'{+"": ""foo""}"
'{.=foo,"{""'{_"": ""foo""}","{""'{."": ""foo""}","{""'{."": ""foo""}"
'{;=foo,"{""'{"": """"}","{"""": ""foo""}","{""'{"": """", ""foo"": """"}"
'{[=foo,"{""'{_"": ""foo""}","{""'{["": ""foo""}","{""'{["": ""foo""}"
'{ =foo,"{""'{_"": ""foo""}","{""'{ "": ""foo""}","{""'{"": ""foo""}"
'|+=foo,"{""'|+"": ""foo""}","{""'| "": ""foo""}","{""'|+"": ""foo""}"
'|.=foo,"{""'|_"": ""foo""}","{""'|."": ""foo""}","{""'|."": ""foo""}"
'|;=foo,"{""'|"": """"}","{"""": ""foo""}","{""'|"": """", ""foo"": """"}"
'|[=foo,"{""'|_"": ""foo""}","{""'|["": ""foo""}","{""'|["": ""foo""}"
'| =foo,"{""'|_"": ""foo""}","{""'| "": ""foo""}","{""'|"": ""foo""}"
'}+=foo,"{""'}+"": ""foo""}","{""'} "": ""foo""}","{""'}+"": ""foo""}"
'}.=foo,"{""'}_"": ""foo""}","{""'}."": ""foo""}","{""'}."": ""foo""}"
'};=foo,"{""'}"": """"}","{"""": ""foo""}","{""'}"": """", ""foo"": """"}"
'}[=foo,"{""'}_"": ""foo""}","{""'}["": ""foo""}","{""'}["": ""foo""}"
'} =foo,"{""'}_"": ""foo""}","{""'} "": ""foo""}","{""'}"": ""foo""}"
'~+=foo,"{""'~+"": ""foo""}","{""'~ "": ""foo""}","{""'~+"": ""foo""}"
'~.=foo,"{""'~_"": ""foo""}","{""'~."": ""foo""}","{""'~."": ""foo""}"
'~;=foo,"{""'~"": """"}","{"""": ""foo""}","{""'~"": """", ""foo"": """"}"
'~[=foo,"{""'~_"": ""foo""}","{""'~["": ""foo""}","{""'~["": ""foo""}"
'~ =foo,"{""'~_"": ""foo""}","{""'~ "": ""foo""}","{""'~"": ""foo""}"
' '=foo,"{""'_'"": ""foo""}","{""' '"": ""foo""}","{""' '"": ""foo""}"
' 0=foo,"{""'_0"": ""foo""}","{""' 0"": ""foo""}","{""' 0"": ""foo""}"
' 1=foo,"{""'_1"": ""foo""}","{""' 1"": ""foo""}","{""' 1"": ""foo""}"
' a=foo,"{""'_a"": ""foo""}","{""' a"": ""foo""}","{""' a"": ""foo""}"
' b=foo,"{""'_b"": ""foo""}","{""' b"": ""foo""}","{""' b"": ""foo""}"
' A=foo,"{""'_A"": ""foo""}","{""' A"": ""foo""}","{""' A"": ""foo""}"
' B=foo,"{""'_B"": ""foo""}","{""' B"": ""foo""}","{""' B"": ""foo""}"
' !=foo,"{""'_!"": ""foo""}","{""' !"": ""foo""}","{""' !"": ""foo""}"
"' ""=foo","{""'_\"""": ""foo""}","{""' \"""": ""foo""}","{""' \"""": ""foo""}"
' #=foo,"{""'_#"": ""foo""}","{""' #"": ""foo""}","{""' #"": ""foo""}"
' $=foo,"{""'_$"": ""foo""}","{""' $"": ""foo""}","{""' $"": ""foo""}"
' %=foo,"{""'_%"": ""foo""}","{""' %"": ""foo""}","{""' %"": ""foo""}"
' &=foo,"{""'_&"": ""foo""}","{""' &"": ""foo""}","{""' &"": ""foo""}"
' \=foo,"{""'_\\"": ""foo""}","{""' \\"": ""foo""}","{""' \\"": ""foo""}"
' (=foo,"{""'_("": ""foo""}","{""' ("": ""foo""}","{""' ("": ""foo""}"
' )=foo,"{""'_)"": ""foo""}","{""' )"": ""foo""}","{""' )"": ""foo""}"
' *=foo,"{""'_*"": ""foo""}","{""' *"": ""foo""}","{""' *"": ""foo""}"
' +=foo,"{""'_+"": ""foo""}","{""'  "": ""foo""}","{""' +"": ""foo""}"
"' ,=foo","{""'_,"": ""foo""}","{""' ,"": ""foo""}","{""' ,"": ""foo""}"
' -=foo,"{""'_-"": ""foo""}","{""' -"": ""foo""}","{""' -"": ""foo""}"
' .=foo,"{""'__"": ""foo""}","{""' ."": ""foo""}","{""' ."": ""foo""}"
' /=foo,"{""'_/"": ""foo""}","{""' /"": ""foo""}","{""' /"": ""foo""}"
' :=foo,"{""'_:"": ""foo""}","{""' :"": ""foo""}","{""' :"": ""foo""}"
' ;=foo,"{""'_"": """"}","{"""": ""foo""}","{""'"": """", ""foo"": """"}"
' <=foo,"{""'_<"": ""foo""}","{""' <"": ""foo""}","{""' <"": ""foo""}"
' ==foo,"{""'_"": ""=foo""}","{""' "": ""=foo""}","{""'"": ""=foo""}"
' >=foo,"{""'_>"": ""foo""}","{""' >"": ""foo""}","{""' >"": ""foo""}"
' ?=foo,"{""'_?"": ""foo""}","{""' ?"": ""foo""}","{""' ?"": ""foo""}"
' @=foo,"{""'_@"": ""foo""}","{""' @"": ""foo""}","{""' @"": ""foo""}"
' [=foo,"{""'__"": ""foo""}","{""' ["": ""foo""}","{""' ["": ""foo""}"
' ]=foo,"{""'_]"": ""foo""}","{""' ]"": ""foo""}","{""' ]"": ""foo""}"
' ^=foo,"{""'_^"": ""foo""}","{""' ^"": ""foo""}","{""' ^"": ""foo""}"
' _=foo,"{""'__"": ""foo""}","{""' _"": ""foo""}","{""' _"": ""foo""}"
' `=foo,"{""'_`"": ""foo""}","{""' `"": ""foo""}","{""' `"": ""foo""}"
' {=foo,"{""'_{"": ""foo""}","{""' {"": ""foo""}","{""' {"": ""foo""}"
' |=foo,"{""'_|"": ""foo""}","{""' |"": ""foo""}","{""' |"": ""foo""}"
' }=foo,"{""'_}"": ""foo""}","{""' }"": ""foo""}","{""' }"": ""foo""}"
' ~=foo,"{""'_~"": ""foo""}","{""' ~"": ""foo""}","{""' ~"": ""foo""}"
'  =foo,"{""'__"": ""foo""}","{""'  "": ""foo""}","{""'"": ""foo""}"
0'+=foo,"{""0'+"": ""foo""}","{""0' "": ""foo""}","{""0'+"": ""foo""}"
0'.=foo,"{""0'_"": ""foo""}","{""0'."": ""foo""}","{""0'."": ""foo""}"
0';=foo,"{""0'"": """"}","{"""": ""foo""}","{""0'"": """", ""foo"": """"}"
0'[=foo,"{""0'_"": ""foo""}","{""0'["": ""foo""}","{""0'["": ""foo""}"
0' =foo,"{""0'_"": ""foo""}","{""0' "": ""foo""}","{""0'"": ""foo""}"
00+=foo,"{""00+"": ""foo""}","{""00 "": ""foo""}","{""00+"": ""foo""}"
00.=foo,"{""00_"": ""foo""}","{""00."": ""foo""}","{""00."": ""foo""}"
00;=foo,"{""00"": """"}","{"""": ""foo""}","{""00"": """", ""foo"": """"}"
00[=foo,"{""00_"": ""foo""}","{""00["": ""foo""}","{""00["": ""foo""}"
00 =foo,"{""00_"": ""foo""}","{""00 "": ""foo""}","{""00"": ""foo""}"
01+=foo,"{""01+"": ""foo""}","{""01 "": ""foo""}","{""01+"": ""foo""}"
01.=foo,"{""01_"": ""foo""}","{""01."": ""foo""}","{""01."": ""foo""}"
01;=foo,"{""01"": """"}","{"""": ""foo""}","{""01"": """", ""foo"": """"}"
01[=foo,"{""01_"": ""foo""}","{""01["": ""foo""}","{""01["": ""foo""}"
01 =foo,"{""01_"": ""foo""}","{""01 "": ""foo""}","{""01"": ""foo""}"
0a+=foo,"{""0a+"": ""foo""}","{""0a "": ""foo""}","{""0a+"": ""foo""}"
0a.=foo,"{""0a_"": ""foo""}","{""0a."": ""foo""}","{""0a."": ""foo""}"
0a;=foo,"{""0a"": """"}","{"""": ""foo""}","{""0a"": """", ""foo"": """"}"
0a[=foo,"{""0a_"": ""foo""}","{""0a["": ""foo""}","{""0a["": ""foo""}"
0a =foo,"{""0a_"": ""foo""}","{""0a "": ""foo""}","{""0a"": ""foo""}"
0b+=foo,"{""0b+"": ""foo""}","{""0b "": ""foo""}","{""0b+"": ""foo""}"
0b.=foo,"{""0b_"": ""foo""}","{""0b."": ""foo""}","{""0b."": ""foo""}"
0b;=foo,"{""0b"": """"}","{"""": ""foo""}","{""0b"": """", ""foo"": """"}"
0b[=foo,"{""0b_"": ""foo""}","{""0b["": ""foo""}","{""0b["": ""foo""}"
0b =foo,"{""0b_"": ""foo""}","{""0b "": ""foo""}","{""0b"": ""foo""}"
0A+=foo,"{""0A+"": ""foo""}","{""0A "": ""foo""}","{""0A+"": ""foo""}"
0A.=foo,"{""0A_"": ""foo""}","{""0A."": ""foo""}","{""0A."": ""foo""}"
0A;=foo,"{""0A"": """"}","{"""": ""foo""}","{""0A"": """", ""foo"": """"}"
0A[=foo,"{""0A_"": ""foo""}","{""0A["": ""foo""}","{""0A["": ""foo""}"
0A =foo,"{""0A_"": ""foo""}","{""0A "": ""foo""}","{""0A"": ""foo""}"
0B+=foo,"{""0B+"": ""foo""}","{""0B "": ""foo""}","{""0B+"": ""foo""}"
0B.=foo,"{""0B_"": ""foo""}","{""0B."": ""foo""}","{""0B."": ""foo""}"
0B;=foo,"{""0B"": """"}","{"""": ""foo""}","{""0B"": """", ""foo"": """"}"
0B[=foo,"{""0B_"": ""foo""}","{""0B["": ""foo""}","{""0B["": ""foo""}"
0B =foo,"{""0B_"": ""foo""}","{""0B "": ""foo""}","{""0B"": ""foo""}"
0!+=foo,"{""0!+"": ""foo""}","{""0! "": ""foo""}","{""0!+"": ""foo""}"
0!.=foo,"{""0!_"": ""foo""}","{""0!."": ""foo""}","{""0!."": ""foo""}"
0!;=foo,"{""0!"": """"}","{"""": ""foo""}","{""0!"": """", ""foo"": """"}"
0![=foo,"{""0!_"": ""foo""}","{""0!["": ""foo""}","{""0!["": ""foo""}"
0! =foo,"{""0!_"": ""foo""}","{""0! "": ""foo""}","{""0!"": ""foo""}"
"0""+=foo","{""0\""+"": ""foo""}","{""0\"" "": ""foo""}","{""0\""+"": ""foo""}"
"0"".=foo","{""0\""_"": ""foo""}","{""0\""."": ""foo""}","{""0\""."": ""foo""}"
"0"";=foo","{""0\"""": """"}","{"""": ""foo""}","{""0\"""": """", ""foo"": """"}"
"0""[=foo","{""0\""_"": ""foo""}","{""0\""["": ""foo""}","{""0\""["": ""foo""}"
"0"" =foo","{""0\""_"": ""foo""}","{""0\"" "": ""foo""}","{""0\"""": ""foo""}"
0#+=foo,"{""0#+"": ""foo""}","{""0# "": ""foo""}","{""0#+"": ""foo""}"
0#.=foo,"{""0#_"": ""foo""}","{""0#."": ""foo""}","{""0#."": ""foo""}"
0#;=foo,"{""0#"": """"}","{"""": ""foo""}","{""0#"": """", ""foo"": """"}"
0#[=foo,"{""0#_"": ""foo""}","{""0#["": ""foo""}","{""0#["": ""foo""}"
0# =foo,"{""0#_"": ""foo""}","{""0# "": ""foo""}","{""0#"": ""foo""}"
0$+=foo,"{""0$+"": ""foo""}","{""0$ "": ""foo""}","{""0$+"": ""foo""}"
0$.=foo,"{""0$_"": ""foo""}","{""0$."": ""foo""}","{""0$."": ""foo""}"
0$;=foo,"{""0$"": """"}","{"""": ""foo""}","{""0$"": """", ""foo"": """"}"
0$[=foo,"{""0$_"": ""foo""}","{""0$["": ""foo""}","{""0$["": ""foo""}"
0$ =foo,"{""0$_"": ""foo""}","{""0$ "": ""foo""}","{""0$"": ""foo""}"
0%+=foo,"{""0%+"": ""foo""}","{""0% "": ""foo""}","{""0%+"": ""foo""}"
0%.=foo,"{""0%_"": ""foo""}","{""0%."": ""foo""}","{""0%."": ""foo""}"
0%;=foo,"{""0%"": """"}","{"""": ""foo""}","{""0%"": """", ""foo"": """"}"
0%[=foo,"{""0%_"": ""foo""}","{""0%["": ""foo""}","{""0%["": ""foo""}"
0% =foo,"{""0%_"": ""foo""}","{""0% "": ""foo""}","{""0%"": ""foo""}"
0&+=foo,"{""0&+"": ""foo""}","{""0& "": ""foo""}","{""0&+"": ""foo""}"
0&.=foo,"{""0&_"": ""foo""}","{""0&."": ""foo""}","{""0&."": ""foo""}"
0&;=foo,"{""0&"": """"}","{"""": ""foo""}","{""0&"": """", ""foo"": """"}"
0&[=foo,"{""0&_"": ""foo""}","{""0&["": ""foo""}","{""0&["": ""foo""}"
0& =foo,"{""0&_"": ""foo""}","{""0& "": ""foo""}","{""0&"": ""foo""}"
0\+=foo,"{""0\\+"": ""foo""}","{""0\\ "": ""foo""}","{""0\\+"": ""foo""}"
0\.=foo,"{""0\\_"": ""foo""}","{""0\\."": ""foo""}","{""0\\."": ""foo""}"
0\;=foo,"{""0\\"": """"}","{"""": ""foo""}","{""0\\"": """", ""foo"": """"}"
0\[=foo,"{""0\\_"": ""foo""}","{""0\\["": ""foo""}","{""0\\["": ""foo""}"
0\ =foo,"{""0\\_"": ""foo""}","{""0\\ "": ""foo""}","{""0\\"": ""foo""}"
0(+=foo,"{""0(+"": ""foo""}","{""0( "": ""foo""}","{""0(+"": ""foo""}"
0(.=foo,"{""0(_"": ""foo""}","{""0(."": ""foo""}","{""0(."": ""foo""}"
0(;=foo,"{""0("": """"}","{"""": ""foo""}","{""0("": """", ""foo"": """"}"
0([=foo,"{""0(_"": ""foo""}","{""0(["": ""foo""}","{""0(["": ""foo""}"
0( =foo,"{""0(_"": ""foo""}","{""0( "": ""foo""}","{""0("": ""foo""}"
0)+=foo,"{""0)+"": ""foo""}","{""0) "": ""foo""}","{""0)+"": ""foo""}"
0).=foo,"{""0)_"": ""foo""}","{""0)."": ""foo""}","{""0)."": ""foo""}"
0);=foo,"{""0)"": """"}","{"""": ""foo""}","{""0)"": """", ""foo"": """"}"
0)[=foo,"{""0)_"": ""foo""}","{""0)["": ""foo""}","{""0)["": ""foo""}"
0) =foo,"{""0)_"": ""foo""}","{""0) "": ""foo""}","{""0)"": ""foo""}"
0*+=foo,"{""0*+"": ""foo""}","{""0* "": ""foo""}","{""0*+"": ""foo""}"
0*.=foo,"{""0*_"": ""foo""}","{""0*."": ""foo""}","{""0*."": ""foo""}"
0*;=foo,"{""0*"": """"}","{"""": ""foo""}","{""0*"": """", ""foo"": """"}"
0*[=foo,"{""0*_"": ""foo""}","{""0*["": ""foo""}","{""0*["": ""foo""}"
0* =foo,"{""0*_"": ""foo""}","{""0* "": ""foo""}","{""0*"": ""foo""}"
0+'=foo,"{""0+'"": ""foo""}","{""0 '"": ""foo""}","{""0+'"": ""foo""}"
0+0=foo,"{""0+0"": ""foo""}","{""0 0"": ""foo""}","{""0+0"": ""foo""}"
0+1=foo,"{""0+1"": ""foo""}","{""0 1"": ""foo""}","{""0+1"": ""foo""}"
0+a=foo,"{""0+a"": ""foo""}","{""0 a"": ""foo""}","{""0+a"": ""foo""}"
0+b=foo,"{""0+b"": ""foo""}","{""0 b"": ""foo""}","{""0+b"": ""foo""}"
0+A=foo,"{""0+A"": ""foo""}","{""0 A"": ""foo""}","{""0+A"": ""foo""}"
0+B=foo,"{""0+B"": ""foo""}","{""0 B"": ""foo""}","{""0+B"": ""foo""}"
0+!=foo,"{""0+!"": ""foo""}","{""0 !"": ""foo""}","{""0+!"": ""foo""}"
"0+""=foo","{""0+\"""": ""foo""}","{""0 \"""": ""foo""}","{""0+\"""": ""foo""}"
0+#=foo,"{""0+#"": ""foo""}","{""0 #"": ""foo""}","{""0+#"": ""foo""}"
0+$=foo,"{""0+$"": ""foo""}","{""0 $"": ""foo""}","{""0+$"": ""foo""}"
0+%=foo,"{""0+%"": ""foo""}","{""0 %"": ""foo""}","{""0+%"": ""foo""}"
0+&=foo,"{""0+&"": ""foo""}","{""0 &"": ""foo""}","{""0+&"": ""foo""}"
0+\=foo,"{""0+\\"": ""foo""}","{""0 \\"": ""foo""}","{""0+\\"": ""foo""}"
0+(=foo,"{""0+("": ""foo""}","{""0 ("": ""foo""}","{""0+("": ""foo""}"
0+)=foo,"{""0+)"": ""foo""}","{""0 )"": ""foo""}","{""0+)"": ""foo""}"
0+*=foo,"{""0+*"": ""foo""}","{""0 *"": ""foo""}","{""0+*"": ""foo""}"
0++=foo,"{""0++"": ""foo""}","{""0  "": ""foo""}","{""0++"": ""foo""}"
"0+,=foo","{""0+,"": ""foo""}","{""0 ,"": ""foo""}","{""0+,"": ""foo""}"
0+-=foo,"{""0+-"": ""foo""}","{""0 -"": ""foo""}","{""0+-"": ""foo""}"
0+.=foo,"{""0+_"": ""foo""}","{""0 ."": ""foo""}","{""0+."": ""foo""}"
0+/=foo,"{""0+/"": ""foo""}","{""0 /"": ""foo""}","{""0+/"": ""foo""}"
0+:=foo,"{""0+:"": ""foo""}","{""0 :"": ""foo""}","{""0+:"": ""foo""}"
0+;=foo,"{""0+"": """"}","{"""": ""foo""}","{""0+"": """", ""foo"": """"}"
0+<=foo,"{""0+<"": ""foo""}","{""0 <"": ""foo""}","{""0+<"": ""foo""}"
0+==foo,"{""0+"": ""=foo""}","{""0 "": ""=foo""}","{""0+"": ""=foo""}"
0+>=foo,"{""0+>"": ""foo""}","{""0 >"": ""foo""}","{""0+>"": ""foo""}"
0+?=foo,"{""0+?"": ""foo""}","{""0 ?"": ""foo""}","{""0+?"": ""foo""}"
0+@=foo,"{""0+@"": ""foo""}","{""0 @"": ""foo""}","{""0+@"": ""foo""}"
0+[=foo,"{""0+_"": ""foo""}","{""0 ["": ""foo""}","{""0+["": ""foo""}"
0+]=foo,"{""0+]"": ""foo""}","{""0 ]"": ""foo""}","{""0+]"": ""foo""}"
0+^=foo,"{""0+^"": ""foo""}","{""0 ^"": ""foo""}","{""0+^"": ""foo""}"
0+_=foo,"{""0+_"": ""foo""}","{""0 _"": ""foo""}","{""0+_"": ""foo""}"
0+`=foo,"{""0+`"": ""foo""}","{""0 `"": ""foo""}","{""0+`"": ""foo""}"
0+{=foo,"{""0+{"": ""foo""}","{""0 {"": ""foo""}","{""0+{"": ""foo""}"
0+|=foo,"{""0+|"": ""foo""}","{""0 |"": ""foo""}","{""0+|"": ""foo""}"
0+}=foo,"{""0+}"": ""foo""}","{""0 }"": ""foo""}","{""0+}"": ""foo""}"
0+~=foo,"{""0+~"": ""foo""}","{""0 ~"": ""foo""}","{""0+~"": ""foo""}"
0+ =foo,"{""0+_"": ""foo""}","{""0  "": ""foo""}","{""0+"": ""foo""}"
"0,+=foo","{""0,+"": ""foo""}","{""0, "": ""foo""}","{""0,+"": ""foo""}"
"0,.=foo","{""0,_"": ""foo""}","{""0,."": ""foo""}","{""0,."": ""foo""}"
"0,;=foo","{""0,"": """"}","{"""": ""foo""}","{""0,"": """", ""foo"": """"}"
"0,[=foo","{""0,_"": ""foo""}","{""0,["": ""foo""}","{""0,["": ""foo""}"
"0, =foo","{""0,_"": ""foo""}","{""0, "": ""foo""}","{""0,"": ""foo""}"
0-+=foo,"{""0-+"": ""foo""}","{""0- "": ""foo""}","{""0-+"": ""foo""}"
0-.=foo,"{""0-_"": ""foo""}","{""0-."": ""foo""}","{""0-."": ""foo""}"
0-;=foo,"{""0-"": """"}","{"""": ""foo""}","{""0-"": """", ""foo"": """"}"
0-[=foo,"{""0-_"": ""foo""}","{""0-["": ""foo""}","{""0-["": ""foo""}"
0- =foo,"{""0-_"": ""foo""}","{""0- "": ""foo""}","{""0-"": ""foo""}"
0.'=foo,"{""0_'"": ""foo""}","{""0.'"": ""foo""}","{""0.'"": ""foo""}"
0.0=foo,"{""0_0"": ""foo""}","{""0.0"": ""foo""}","{""0.0"": ""foo""}"
0.1=foo,"{""0_1"": ""foo""}","{""0.1"": ""foo""}","{""0.1"": ""foo""}"
0.a=foo,"{""0_a"": ""foo""}","{""0.a"": ""foo""}","{""0.a"": ""foo""}"
0.b=foo,"{""0_b"": ""foo""}","{""0.b"": ""foo""}","{""0.b"": ""foo""}"
0.A=foo,"{""0_A"": ""foo""}","{""0.A"": ""foo""}","{""0.A"": ""foo""}"
0.B=foo,"{""0_B"": ""foo""}","{""0.B"": ""foo""}","{""0.B"": ""foo""}"
0.!=foo,"{""0_!"": ""foo""}","{""0.!"": ""foo""}","{""0.!"": ""foo""}"
"0.""=foo","{""0_\"""": ""foo""}","{""0.\"""": ""foo""}","{""0.\"""": ""foo""}"
0.#=foo,"{""0_#"": ""foo""}","{""0.#"": ""foo""}","{""0.#"": ""foo""}"
0.$=foo,"{""0_$"": ""foo""}","{""0.$"": ""foo""}","{""0.$"": ""foo""}"
0.%=foo,"{""0_%"": ""foo""}","{""0.%"": ""foo""}","{""0.%"": ""foo""}"
0.&=foo,"{""0_&"": ""foo""}","{""0.&"": ""foo""}","{""0.&"": ""foo""}"
0.\=foo,"{""0_\\"": ""foo""}","{""0.\\"": ""foo""}","{""0.\\"": ""foo""}"
0.(=foo,"{""0_("": ""foo""}","{""0.("": ""foo""}","{""0.("": ""foo""}"
0.)=foo,"{""0_)"": ""foo""}","{""0.)"": ""foo""}","{""0.)"": ""foo""}"
0.*=foo,"{""0_*"": ""foo""}","{""0.*"": ""foo""}","{""0.*"": ""foo""}"
0.+=foo,"{""0_+"": ""foo""}","{""0. "": ""foo""}","{""0.+"": ""foo""}"
"0.,=foo","{""0_,"": ""foo""}","{""0.,"": ""foo""}","{""0.,"": ""foo""}"
0.-=foo,"{""0_-"": ""foo""}","{""0.-"": ""foo""}","{""0.-"": ""foo""}"
0..=foo,"{""0__"": ""foo""}","{""0.."": ""foo""}","{""0.."": ""foo""}"
0./=foo,"{""0_/"": ""foo""}","{""0./"": ""foo""}","{""0./"": ""foo""}"
0.:=foo,"{""0_:"": ""foo""}","{""0.:"": ""foo""}","{""0.:"": ""foo""}"
0.;=foo,"{""0_"": """"}","{"""": ""foo""}","{""0."": """", ""foo"": """"}"
0.<=foo,"{""0_<"": ""foo""}","{""0.<"": ""foo""}","{""0.<"": ""foo""}"
0.==foo,"{""0_"": ""=foo""}","{""0."": ""=foo""}","{""0."": ""=foo""}"
0.>=foo,"{""0_>"": ""foo""}","{""0.>"": ""foo""}","{""0.>"": ""foo""}"
0.?=foo,"{""0_?"": ""foo""}","{""0.?"": ""foo""}","{""0.?"": ""foo""}"
0.@=foo,"{""0_@"": ""foo""}","{""0.@"": ""foo""}","{""0.@"": ""foo""}"
0.[=foo,"{""0__"": ""foo""}","{""0.["": ""foo""}","{""0.["": ""foo""}"
0.]=foo,"{""0_]"": ""foo""}","{""0.]"": ""foo""}","{""0.]"": ""foo""}"
0.^=foo,"{""0_^"": ""foo""}","{""0.^"": ""foo""}","{""0.^"": ""foo""}"
0._=foo,"{""0__"": ""foo""}","{""0._"": ""foo""}","{""0._"": ""foo""}"
0.`=foo,"{""0_`"": ""foo""}","{""0.`"": ""foo""}","{""0.`"": ""foo""}"
0.{=foo,"{""0_{"": ""foo""}","{""0.{"": ""foo""}","{""0.{"": ""foo""}"
0.|=foo,"{""0_|"": ""foo""}","{""0.|"": ""foo""}","{""0.|"": ""foo""}"
0.}=foo,"{""0_}"": ""foo""}","{""0.}"": ""foo""}","{""0.}"": ""foo""}"
0.~=foo,"{""0_~"": ""foo""}","{""0.~"": ""foo""}","{""0.~"": ""foo""}"
0. =foo,"{""0__"": ""foo""}","{""0. "": ""foo""}","{""0."": ""foo""}"
0/+=foo,"{""0/+"": ""foo""}","{""0/ "": ""foo""}","{""0/+"": ""foo""}"
0/.=foo,"{""0/_"": ""foo""}","{""0/."": ""foo""}","{""0/."": ""foo""}"
0/;=foo,"{""0/"": """"}","{"""": ""foo""}","{""0/"": """", ""foo"": """"}"
0/[=foo,"{""0/_"": ""foo""}","{""0/["": ""foo""}","{""0/["": ""foo""}"
0/ =foo,"{""0/_"": ""foo""}","{""0/ "": ""foo""}","{""0/"": ""foo""}"
0:+=foo,"{""0:+"": ""foo""}","{""0: "": ""foo""}","{""0:+"": ""foo""}"
0:.=foo,"{""0:_"": ""foo""}","{""0:."": ""foo""}","{""0:."": ""foo""}"
0:;=foo,"{""0:"": """"}","{"""": ""foo""}","{""0:"": """", ""foo"": """"}"
0:[=foo,"{""0:_"": ""foo""}","{""0:["": ""foo""}","{""0:["": ""foo""}"
0: =foo,"{""0:_"": ""foo""}","{""0: "": ""foo""}","{""0:"": ""foo""}"
0;'=foo,"{""0"": """", ""'"": ""foo""}","{""'"": ""foo""}","{""0"": """", ""'"": ""foo""}"
0;0=foo,"[""""]","[""foo""]","{""0"": """"}"
0;1=foo,"["""", ""foo""]","{""1"": ""foo""}","{""0"": """", ""1"": ""foo""}"
0;a=foo,"{""0"": """", ""a"": ""foo""}","{""a"": ""foo""}","{""0"": """", ""a"": ""foo""}"
0;b=foo,"{""0"": """", ""b"": ""foo""}","{""b"": ""foo""}","{""0"": """", ""b"": ""foo""}"
0;A=foo,"{""0"": """", ""A"": ""foo""}","{""A"": ""foo""}","{""0"": """", ""A"": ""foo""}"
0;B=foo,"{""0"": """", ""B"": ""foo""}","{""B"": ""foo""}","{""0"": """", ""B"": ""foo""}"
0;!=foo,"{""0"": """", ""!"": ""foo""}","{""!"": ""foo""}","{""0"": """", ""!"": ""foo""}"
"0;""=foo","{""0"": """", ""\"""": ""foo""}","{""\"""": ""foo""}","{""0"": """", ""\"""": ""foo""}"
0;#=foo,"{""0"": """", ""#"": ""foo""}","{""#"": ""foo""}","{""0"": """", ""#"": ""foo""}"
0;$=foo,"{""0"": """", ""$"": ""foo""}","{""$"": ""foo""}","{""0"": """", ""$"": ""foo""}"
0;%=foo,"{""0"": """", ""%"": ""foo""}","{""%"": ""foo""}","{""0"": """", ""%"": ""foo""}"
